PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
031311,01-OCT-13,30-SEP-14,Settled,,36176607,45735075
031312,01-JUL-14,30-JUN-15,Settled,,3840776,65996577
031313,01-JUL-14,30-JUN-15,As Submitted,,19032710,67824020
031314,01-JAN-14,31-DEC-14,Settled,,22600355,51387143
031315,01-JAN-14,31-DEC-14,Settled,,5597055,20008680
031317,24-OCT-13,30-SEP-14,Settled,,12085548,41710976
032000,01-SEP-14,31-AUG-15,Settled,33058571,100041513,9437
032001,01-DEC-13,30-NOV-14,Settled,20430773,62702606,
032002,01-SEP-14,31-AUG-15,Settled,16522257,49256794,
032004,01-JAN-14,31-DEC-14,Settled,10033829,33937825,
032005,01-JUN-14,31-MAY-15,Settled,25014777,70970861,
032006,01-JUN-14,31-MAY-15,Settled,19790899,70498319,
032007,28-JUN-14,31-MAY-15,Settled,20816468,72691037,
032008,28-JUN-14,31-MAY-15,Settled,15264670,31216402,
033025,01-JAN-14,31-DEC-14,Settled,12994858,20566525,2299731
033028,01-JAN-14,31-DEC-14,Settled,19905044,34517416,4284375
033029,01-JAN-14,31-DEC-14,Settled,14499853,24996453,448
033032,01-JUN-14,31-MAY-15,Amended,18371127,31999492,2964005
033034,01-JAN-14,31-DEC-14,Settled,11073374,24271185,200389
033036,01-JAN-14,31-DEC-14,Settled,12269945,24925995,1318378
033037,01-JUN-14,31-MAY-15,Settled,17476823,37430102,1773879
033038,01-JAN-14,31-DEC-14,Settled,16993228,36006694,
033302,01-JAN-14,31-DEC-14,Settled w/Audit,,966721404,761980520
034004,01-JAN-14,31-DEC-14,Settled,24125939,51820041,4459786
034013,01-JUN-14,31-MAY-15,Settled,37909097,122766144,15290730
034020,01-JUL-14,30-JUN-15,Settled,6444722,12036788,
034021,01-JUL-14,30-JUN-15,Settled,59678486,60717938,
034022,01-JAN-14,31-DEC-14,Settled,12758338,31016200,1501900
034023,01-OCT-13,30-SEP-14,Settled,14076961,5357466,9497803
034024,01-JAN-14,31-DEC-14,Settled,17076926,49379106,3267840
034025,01-JUL-14,30-JUN-15,Settled,31633692,4474455,30414305
034026,01-JAN-14,31-DEC-14,Settled,20057489,82968500,6041770
034027,01-JUL-14,30-JUN-15,As Submitted,3903033,3833060,
034028,01-JAN-14,31-DEC-14,Settled,14161100,38143227,3380160
034029,28-MAR-14,31-DEC-14,Settled,9328178,21221322,
034030,16-MAY-14,31-AUG-14,Settled,2811288,8624725,438500
034030,01-SEP-14,31-AUG-15,Settled,10529907,30138700,1751160
040001,01-APR-14,31-MAR-15,Settled,25125708,46610504,92033175
040002,01-JAN-14,31-DEC-14,Settled,28972407,19301865,39886656
040004,01-JAN-14,31-DEC-14,As Submitted,174101004,520000989,378299324
040007,01-JUL-14,30-JUN-15,Settled,335088260,957991926,502471238
040010,01-JUL-14,30-JUN-15,Settled,162468491,283402426,451042001
040011,01-JUL-14,30-JUN-15,As Submitted,16912701,11055133,22225753
040014,01-OCT-13,30-SEP-14,As Submitted,135837243,232596863,326507202
040015,01-JAN-14,31-DEC-14,Settled,20844678,21897405,40358075
040016,01-JUL-14,30-JUN-15,Amended,559430723,949135109,897927900
040017,01-APR-14,31-MAR-15,As Submitted,63030455,72584183,132023003
040018,01-JAN-14,31-DEC-14,Settled,19022707,38260463,92208767
040019,01-OCT-13,30-SEP-14,Settled,21286984,52309632,55466340
040020,01-OCT-13,30-SEP-14,As Submitted,230117726,230554181,306165783
040022,01-NOV-13,31-OCT-14,Amended,199018369,840870635,691253803
040026,01-JUL-14,30-JUN-15,As Submitted,157436350,412481491,379703813
040027,01-JAN-14,31-DEC-14,As Submitted,136481851,206293527,229224019
040029,01-JAN-14,31-DEC-14,As Submitted,109948509,136919387,195031587
040036,01-JAN-14,31-DEC-14,As Submitted,150416665,347840336,331245172
040039,01-JUL-14,30-JUN-15,As Submitted,43462848,61158317,81227373
040041,01-SEP-14,31-AUG-15,Settled,67147569,208638622,356482389
040042,01-JAN-14,29-AUG-14,Settled,30520464,39721162,47773764
040047,01-JAN-14,31-DEC-14,As Submitted,13836519,10235418,19275405
040050,01-OCT-13,30-SEP-14,Settled,29752255,24425095,62893382
040051,01-APR-14,31-MAR-15,Settled,26510615,18497097,44320150
040055,01-JAN-14,30-SEP-14,Settled,169330434,468822072,538946600
040062,01-JUL-14,30-JUN-15,As Submitted,223177310,419728549,311669753
040067,01-OCT-13,30-SEP-14,As Submitted,23326868,14111427,30754188
